Time(seconds);Cost(€/jule)
0;3.50E-08
3600;3.40E-08
7200;3.07E-08
10800;3.08E-08
14400;3.01E-08
18000;3.08E-08
21600;3.02E-08
25200;3.39E-08
28800;3.40E-08
32400;2.71E-08
36000;2.08E-08
39600;1.96E-08
43200;1.90E-08
46800;1.67E-08
50400;1.71E-08
54000;2.04E-08
57600;2.48E-08
61200;3.59E-08
64800;3.62E-08
68400;3.95E-08
72000;4.09E-08
75600;4.02E-08
79200;3.60E-08
82800;3.39E-08
